,Product,Unit Price,Category
45,REALME - REALME 14 PRO+ 5G SUEDE GREY (512GB 12GB),"530,90€",Smartphone & Cellulari
46,SAMSUNG GALAXY A26 5G 8+256GB MINT,"328,90€",Smartphone & Cellulari
47,SAMSUNG GALAXY A26 5G 8+256GB BLACK,"327,90€",Smartphone & Cellulari
48,SAMSUNG GALAXY A26 5G 8+256GB WHITE,"327,90€",Smartphone & Cellulari
49,SAMSUNG GALAXY S25 EDGE 12+512GB,"1.418,99€",Smartphone & Cellulari
50,"OPPO A5 PRO SMARTPHONE, FOTO AI 50MP, FRONTALE 8MP, DISPLAY 6.67” 90HZ LCD HD+, 5800MAH, RAM 8(ESP4GB/6GB/8GB)+ROM 256GB","199,90€",Smartphone & Cellulari
51,"OPPO A5 PRO SMARTPHONE, FOTO AI 50MP, FRONTALE 8MP, DISPLAY 6.67” 90HZ LCD HD+, 5800MAH, RAM 8(ESP4GB/6GB/8GB)+ROM 256GB","199,90€",Smartphone & Cellulari
52,"OPPO A5 PRO 5G SMARTPHONE, FOTO AI 50MP, FRONTALE 8MP, DISPLAY 6.67” 120HZ LCD HD+, 5800MAH, RAM 8(ESP4GB/6GB/8GB)+ROM 2","249,90€",Smartphone & Cellulari
53,"OPPO A5 PRO 5G SMARTPHONE, FOTO AI 50MP, FRONTALE 8MP, DISPLAY 6.67” 120HZ LCD HD+, 5800MAH, RAM 8(ESP4GB/6GB/8GB)+ROM 2","249,90€",Smartphone & Cellulari
54,HONOR BUNDLE 400 (8/512GB) DESERT GOLD + CHOICE CLIP,"499,90€",Smartphone & Cellulari
55,HONOR BUNDLE 400 (8/512GB) METEOR SILVER  + CHOICE CLIP,"499,90€",Smartphone & Cellulari
56,HONOR BUNDLE 400 (8/512GB) MIDNIGHT BLACK + CHOICE CLIP,"499,90€",Smartphone & Cellulari
57,SAMSUNG GALAXY S24 8+256GB  AMBER YELLOW,"729,90€",Smartphone & Cellulari
58,SAMSUNG GALAXY S25 EDGE 12+512GB,"1.418,99€",Smartphone & Cellulari
59,SAMSUNG GALAXY S25 EDGE 12+512GB,"1.418,99€",Smartphone & Cellulari
60,BRONDI FOX,"44,90€",Smartphone & Cellulari
61,BRONDI FOX,"44,90€",Smartphone & Cellulari
62,TREVI TELEFONO CELLULARE CON DOPPIO DISPLAY E APERTURA A CONCHIGLIA FLEX PLUS 55 NERO,"59,90€",Smartphone & Cellulari
63,TREVI TELEFONO CELLULARE CON DOPPIO DISPLAY E APERTURA A CONCHIGLIA FLEX PLUS 55 SILVER,"59,90€",Smartphone & Cellulari
64,BRONDI PRESIDENT,"57,90€",Smartphone & Cellulari
65,BRONDI PRESIDENT,"59,90€",Smartphone & Cellulari
66,BRONDI KING,"36,90€",Smartphone & Cellulari
67,PANASONIC KX-TU110EXB,"35,90€",Smartphone & Cellulari
68,PANASONIC KX-TU110EXC,"40,90€",Smartphone & Cellulari
69,TREVI FORTE 70,"39,90€",Smartphone & Cellulari
70,GIGASET CELLULARE SENIOR GL390,"39,90€",Smartphone & Cellulari
71,BRONDI AMICO HOME,"30,90€",Smartphone & Cellulari
72,BRONDI FOX,"44,99€",Smartphone & Cellulari
73,BRONDI AMICO FAVOLOSO,"78,90€",Smartphone & Cellulari
74,BRONDI AMICO UNICO,"43,90€",Smartphone & Cellulari
75,BRONDI AMICO UNICO,"43,90€",Smartphone & Cellulari
76,HUAWEI Y5PMIDNIGHTBLACK,"99,00€",Smartphone & Cellulari
77,XIAOMI REDMI NOTE 9,"179,00€",Smartphone & Cellulari
78,XIAOMI REDMI NOTE 9 PRO,"249,00€",Smartphone & Cellulari
79,BRONDI AMICO SINCERO,"51,90€",Smartphone & Cellulari
80,BRONDI AMICO SINCERO,"54,90€",Smartphone & Cellulari
81,PANASONIC KX-TU400EXG,"56,90€",Smartphone & Cellulari
82,HUAWEI P SMART 2021 ANDROID 10 CON MOBILE SERVICE,"199,00€",Smartphone & Cellulari
83,HUAWEI P SMART 2021 ANDROID 10 CON MOBILE SERVICE,"199,00€",Smartphone & Cellulari
84,HUAWEI P SMART 2021 ANDROID 10 CON MOBILE SERVICE,"199,00€",Smartphone & Cellulari
85,BRONDI AMICO SMARTPHONE +,"94,90€",Smartphone & Cellulari
86,BRONDI CONTENDER,"48,90€",Smartphone & Cellulari
87,XIAOMI REDMI 9T 4+64GB,"169,00€",Smartphone & Cellulari
88,MOTOROLA MOTO G100,"289,00€",Smartphone & Cellulari
89,MOTOROLA MOTOE7IPOWERTIMTAHITIBLUE,"99,00€",Smartphone & Cellulari
90,BRONDI AMICO HOME,"31,90€",Smartphone & Cellulari
91,BEGHELLI SALVALAVITA PHONE SLV10,"33,90€",Smartphone & Cellulari
92,BRONDI CONTENDER,"53,90€",Smartphone & Cellulari
93,"BRONDI AMICO SUPERVOICE CELL. QB SENIOR 2.8"" FLIP DUALSIM SOS NERO/SILVER","87,90€",Smartphone & Cellulari
94,BRONDI MAGNUM 4,"51,90€",Smartphone & Cellulari
95,BRONDI MAGNUM 4,"51,90€",Smartphone & Cellulari
96,BRONDI MAGNUM 4,"53,90€",Smartphone & Cellulari
97,BRONDI MAGNUM 4,"51,90€",Smartphone & Cellulari
